Date,Description,Amount,Currency,Status
﻿Date,Description,Amount,Currency,Malformed
﻿Date,Description,Amount,Currency,Malformed
﻿Date,Description,Amount,Currency,Malformed
21-05-2020,LARACASTS,9,USD,Non-Duplicate
17-05-2020,STOPLIGHT INC,87,USD,Non-Duplicate
15-05-2020,BUENO TECHNOLOGIES INC,8,USD,Non-Duplicate
15-05-2020,INTUIT QUICKBOOKS,42.64,USD,Non-Duplicate
10-05-2020,FRESHWORKS INC,116,USD,Non-Duplicate
07-05-2020,FIGMA INC.,60,USD,Non-Duplicate
07-05-2020,MIXPANEL INC.,150,USD,Non-Duplicate
05-05-2020,CENTER CENTRE INC,29,USD,Non-Duplicate
02-05-2020,PAYPAL *MONGODBLTD,71.63,USD,Non-Duplicate
01-05-2020,84CODES*CLOUDAMQP.COM,99,USD,Non-Duplicate
01-05-2020,PayPal,31.03,USD,Non-Duplicate
01-05-2020,PayPal,622.87,USD,Non-Duplicate
01-05-2020,CHARGE.ELASTIC.CO,845.36,USD,Non-Duplicate
30-04-2020,TYPEFORM S.L,70,USD,Non-Duplicate
30-04-2020,ZEPLIN INC.,29,USD,Non-Duplicate
29-04-2020,PAYPAL *MONGODBLTD,1007.05,USD,Non-Duplicate
29-04-2020,POSTMARK,75,USD,Non-Duplicate
28-04-2020,PayPal,29.95,USD,Non-Duplicate
26-04-2020,BROWSERSTACK INC,39,USD,Non-Duplicate
22-04-2020,PLURALSIGHT,29,USD,Non-Duplicate
22-04-2020,LARACASTS,9,USD,Non-Duplicate
20-04-2020,SENTRY,80,USD,Non-Duplicate
17-04-2020,STOPLIGHT INC,87,USD,Non-Duplicate
15-04-2020,ATLASSIAN,493.6,USD,Non-Duplicate
15-04-2020,BUENO TECHNOLOGIES INC,8,USD,Non-Duplicate
15-04-2020,INTUIT QUICKBOOKS,42.64,USD,Non-Duplicate
07-04-2020,FIGMA INC.,75,USD,Non-Duplicate
05-04-2020,CENTER CENTRE INC,29,USD,Non-Duplicate
03-04-2020,PAYPAL,99,USD,Non-Duplicate
02-04-2020,84CODES*CLOUDAMQP.COM,99,USD,Non-Duplicate
01-04-2020,PayPal,31.03,USD,Non-Duplicate
01-04-2020,CHARGE.ELASTIC.CO,826.19,USD,Non-Duplicate
30-03-2020,PayPal,392.87,USD,Non-Duplicate
30-03-2020,ZEPLIN INC.,23.34,USD,Non-Duplicate
28-03-2020,PayPal,29.95,USD,Non-Duplicate
26-03-2020,BROWSERSTACK INC,39,USD,Non-Duplicate
22-03-2020,PLURALSIGHT,29,USD,Non-Duplicate
21-03-2020,LARACASTS,9,USD,Non-Duplicate
21-03-2020,PayPal,99,USD,Non-Duplicate
21-03-2020,PayPal,1.95,USD,Non-Duplicate
20-03-2020,SENTRY,151.15,USD,Non-Duplicate
17-03-2020,HUBSPOT ASIA PTE LTD,7873,USD,Non-Duplicate
17-03-2020,STOPLIGHT INC,87,USD,Non-Duplicate
15-03-2020,ATLASSIAN,558.7,USD,Non-Duplicate
15-03-2020,BUENO TECHNOLOGIES INC,8,USD,Non-Duplicate
15-03-2020,INTUIT QUICKBOOKS,42.64,USD,Non-Duplicate
07-03-2020,FIGMA INC.,75,USD,Non-Duplicate
05-03-2020,APPCUES INC.,299,USD,Non-Duplicate
05-03-2020,CENTER CENTRE INC,29,USD,Non-Duplicate
03-03-2020,New Relic,2411,USD,Non-Duplicate
01-03-2020,84CODES*CLOUDAMQP.COM,99,USD,Non-Duplicate
01-03-2020,CHARGE.ELASTIC.CO,744.83,USD,Non-Duplicate
28-02-2020,PAYPAL,99,USD,Non-Duplicate
22-02-2020,PLURALSIGHT,29,USD,Non-Duplicate
21-02-2020,LARACASTS,9,USD,Non-Duplicate
20-02-2020,POSTMARK,75,USD,Non-Duplicate
19-02-2020,SENTRY,128,USD,Non-Duplicate
17-02-2020,STOPLIGHT INC,77.15,USD,Non-Duplicate
15-02-2020,ATLASSIAN,558.7,USD,Non-Duplicate
15-02-2020,BUENO TECHNOLOGIES INC,8,USD,Non-Duplicate
15-02-2020,INTUIT QUICKBOOKS,42.64,USD,Non-Duplicate
07-02-2020,FIGMA INC.,75,USD,Non-Duplicate
05-02-2020,CENTER CENTRE INC,29,USD,Non-Duplicate
03-02-2020,New Relic,2411,USD,Non-Duplicate
01-02-2020,84CODES*CLOUDAMQP.COM,99,USD,Non-Duplicate
01-02-2020,PayPal,31.03,USD,Non-Duplicate
01-02-2020,PUSHY,17.14,USD,Non-Duplicate
01-02-2020,CHARGE.ELASTIC.CO,789.09,USD,Non-Duplicate
30-01-2020,LARACASTS,9,USD,Non-Duplicate
30-01-2020,PayPal,374.87,USD,Non-Duplicate
28-01-2020,PayPal,29.95,USD,Non-Duplicate
25-01-2020,BROWSERSTACK INC,129,USD,Non-Duplicate
22-01-2020,EGGHEAD IO LLC,49.99,USD,Non-Duplicate
22-01-2020,PLURALSIGHT,29,USD,Non-Duplicate
